/github/workspace/fsh-generated/resources/BodyStructure-example-body-structure.json: line 25, col 8, Error - Unable to resolve resource with reference 'ExampleCondition' (STRUCTURE)
/github/workspace/fsh-generated/resources/StructureDefinition-histology-topography.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-histology-topography.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-histology-topography.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-histology-topography.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-histopathological-grading-who.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-histopathological-grading-who.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-histopathological-grading-who.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-karnofsky-performance-status.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-karnofsky-performance-status.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-karnofsky-performance-status.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-medication-administration.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-medication-administration.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-medication-administration.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-medication-administration.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-medication-statement.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-medication-statement.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-medication-statement.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-medication-statement.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-medication-statement.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-part-of.json: line 1, col 630, Warning - The markdown contains content that appears to be an embedded HTML tag starting at 'En'. This will (or SHOULD) be escaped by the presentation layer. The content should be checked to confirm that this is the desired behaviour (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-part-of.json: line 1, col 1224, Warning - The markdown contains content that appears to be an embedded HTML tag starting at 'En'. This will (or SHOULD) be escaped by the presentation layer. The content should be checked to confirm that this is the desired behaviour (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-part-of.json: line 1, col 6069, Warning - The markdown contains content that appears to be an embedded HTML tag starting at 'En'. This will (or SHOULD) be escaped by the presentation layer. The content should be checked to confirm that this is the desired behaviour (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-radiological-diagnostic-report.json: line 1, col 13832, Warning - The markdown contains content that appears to be an embedded HTML tag starting at 'En'. This will (or SHOULD) be escaped by the presentation layer. The content should be checked to confirm that this is the desired behaviour (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-radiological-read-procedure.json: line 1, col 25966, Info - The code '103693007' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-radiological-read-procedure.json: line 1, col 64801, Info - The code '103693007' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-radiological-read-procedure.json: line 0, col 0, Warning - For the complex type CodeableConcept, consider using a pattern rather than a fixed value to avoid over-constraining the instance (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-radiological-read-procedure.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this profile (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-radiological-recist-read-procedure.json: line 1, col 25483, Info - The code '103693007' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-radiological-recist-read-procedure.json: line 0, col 0, Warning - For the complex type CodeableConcept, consider using a pattern rather than a fixed value to avoid over-constraining the instance (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-radiological-tnm-read-procedure.json: line 1, col 25449, Info - The code '103693007' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-radiological-tnm-read-procedure.json: line 0, col 0, Warning - For the complex type CodeableConcept, consider using a pattern rather than a fixed value to avoid over-constraining the instance (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-recist-assessment-response.json: line 1, col 25086, Info - Code System URI 'http://radlex.org/RID' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/StructureDefinition-recist-assessment-response.json: line 1, col 79142, Info - Code System URI 'http://radlex.org/RID' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/StructureDefinition-recist-category-observation.json: line 0, col 0, Error - Conformance resource /github/workspace/fsh-generated/resources/StructureDefinition-recist-category-observation.json - the canonical URL (https://www.vision-zero-oncology.de/fhir/StructureDefinition/recist-category-observation) does not match the URL (https://www.vision-zero-oncology.de/fhir/ValueSet/vs-recist-category-observation) (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-recist-category-observation.json: line 0, col 0, Error - Resource id/url mismatch: recist-category-observation/https://www.vision-zero-oncology.de/fhir/ValueSet/vs-recist-category-observation (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-recist-category-observation.json: line 0, col 0, Error - URL Mismatch https://www.vision-zero-oncology.de/fhir/StructureDefinition/recist-category-observation vs https://www.vision-zero-oncology.de/fhir/ValueSet/vs-recist-category-observation (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-supportingInfo.json: line 1, col 867, Warning - The markdown contains content that appears to be an embedded HTML tag starting at 'En'. This will (or SHOULD) be escaped by the presentation layer. The content should be checked to confirm that this is the desired behaviour (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-supportingInfo.json: line 1, col 1674, Warning - The markdown contains content that appears to be an embedded HTML tag starting at 'En'. This will (or SHOULD) be escaped by the presentation layer. The content should be checked to confirm that this is the desired behaviour (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-supportingInfo.json: line 1, col 5949, Warning - The markdown contains content that appears to be an embedded HTML tag starting at 'En'. This will (or SHOULD) be escaped by the presentation layer. The content should be checked to confirm that this is the desired behaviour (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-supportingInfo.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-tumor.json: line 1, col 14033, Warning - The markdown contains content that appears to be an embedded HTML tag starting at 'En'. This will (or SHOULD) be escaped by the presentation layer. The content should be checked to confirm that this is the desired behaviour (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-tumor-disorder.json: line 0, col 0, Warning - The valueSet reference http://fhir.de/onkologie/ValueSet/icd-o-3-morphologie on element Condition.code.coding could not be resolved (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-tumor-disorder.json: line 0, col 0, Warning - The valueSet reference http://fhir.de/onkologie/ValueSet/icd-o-3-topologie on element Condition.bodySite.coding could not be resolved (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-tumor-disorder.json: line 0, col 0, Warning - The valueSet reference http://fhir.de/onkologie/ValueSet/icd-o-3-morphologie on element Condition.code.coding could not be resolved (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-tumor-disorder.json: line 0, col 0, Warning - The valueSet reference http://fhir.de/onkologie/ValueSet/icd-o-3-topologie on element Condition.bodySite.coding could not be resolved (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-tumor-specimen.json: line 0, col 0, Error - The slice definition for Specimen.processing:lagerprozess.extension has a minimum of 0 but the slices add up to a minimum of 1 (VALUE)
/github/workspace/fsh-generated/resources/StructureDefinition-tumor-specimen.json: line 0, col 0, Error - The element Specimen.processing:lagerprozess.time[x]:timePeriod launches straight into slicing without the slicing being set up properly first (VALUE)
/github/workspace/fsh-generated/resources/StructureDefinition-tumor-specimen.json: line 1, col 14593, Warning - The markdown contains content that appears to be an embedded HTML tag starting at 'En'. This will (or SHOULD) be escaped by the presentation layer. The content should be checked to confirm that this is the desired behaviour (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-tumor-specimen.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-tumor-specimen.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-tumor-specimen.json: line 0, col 0, Error - This element has a Binding but the types [Reference] do not make this kind of constraint relevant (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-tumor-specimen.json: line 0, col 0, Error - The element Specimen.container.additive[x] has a binding, but no bindable types are present [Reference] (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-uicc-tnm.json: line 1, col 30482, Info - The code '258235000' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-uicc-tnm.json: line 1, col 95130, Info - The code '277649004' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-uicc-tnm.json: line 1, col 97136, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/StructureDefinition-uicc-tnm.json: line 1, col 109787, Info - The code '277647002' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-uicc-tnm.json: line 1, col 111793, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/StructureDefinition-uicc-tnm.json: line 1, col 124415, Info - The code '277646006' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-uicc-tnm.json: line 1, col 126421, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/StructureDefinition-uicc-tnm.json: line 1, col 153738, Info - The code '277650004' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-uicc-tnm.json: line 1, col 300746, Info - The code '258235000' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-uicc-tnm.json: line 1, col 302594, Info - The code '277649004' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-uicc-tnm.json: line 1, col 302827, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/StructureDefinition-uicc-tnm.json: line 1, col 303294, Info - The code '277647002' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-uicc-tnm.json: line 1, col 303527, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/StructureDefinition-uicc-tnm.json: line 1, col 303965, Info - The code '277646006' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-uicc-tnm.json: line 1, col 304198, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/StructureDefinition-uicc-tnm.json: line 1, col 305915, Info - The code '277650004' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-uicc-tnm.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-uicc-tnm-prefix-cpu.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-uicc-tnm-suffix-itc.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-uicc-tnm-suffix-itc-sn.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-morphology-icd-o-3.json: line 0, col 0, Warning - Error from http://tx.fhir.org/r4: Unable to provide support for code system http://terminology.hl7.org/CodeSystem/icd-o-3 (EXCEPTION)
/github/workspace/fsh-generated/resources/ValueSet-recist-asstimepoint-response.json: line 0, col 0, Warning - Unknown System 'http://radlex.org/RID' specified, so Concepts and Filters can't be checked (Details: The CodeSystem http://radlex.org/RID is unknown (from Tx-Server)) (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-recist-asstimepoint-response.json: line 0, col 0, Warning - Error from http://tx.fhir.org/r4: Unable to provide support for code system http://radlex.org/RID (EXCEPTION)
/github/workspace/fsh-generated/resources/ValueSet-studiendesign-ncit.json: line 0, col 0, Warning - Unknown System 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' specified, so Concepts and Filters can't be checked (Details: Resolved system http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl (v3.0.0), but the definition is not complete) (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-studiendesign-ncit.json: line 0, col 0, Warning - Error from http://tx.fhir.org/r4: Unable to provide support for code system http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl (EXCEPTION)
/github/workspace/fsh-generated/resources/ValueSet-studienkategorien-ncit.json: line 0, col 0, Warning - Unknown System 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' specified, so Concepts and Filters can't be checked (Details: Resolved system http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl (v3.0.0), but the definition is not complete) (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-studienkategorien-ncit.json: line 0, col 0, Warning - Error from http://tx.fhir.org/r4: Unable to provide support for code system http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl (EXCEPTION)
/github/workspace/fsh-generated/resources/ValueSet-study-focus-ncit.json: line 0, col 0, Warning - Unknown System 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' specified, so Concepts and Filters can't be checked (Details: Resolved system http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl (v3.0.0), but the definition is not complete) (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-study-focus-ncit.json: line 0, col 0, Warning - Error from http://tx.fhir.org/r4: Unable to provide support for code system http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl (EXCEPTION)
/github/workspace/fsh-generated/resources/ValueSet-tnm-l-lymphatic-invasion-uicc.json: line 0, col 0, Warning - Unknown System 'urn:oid:2.16.840.1.113883.15.16' specified, so Concepts and Filters can't be checked (Details: Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated) (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-tnm-l-lymphatic-invasion-uicc.json: line 0, col 0, Warning - Error from http://tx.fhir.org/r4: Unable to provide support for code system urn:oid:2.16.840.1.113883.15.16 (EXCEPTION)
/github/workspace/fsh-generated/resources/ValueSet-tnm-m-category-uicc.json: line 0, col 0, Warning - Unknown System 'urn:oid:2.16.840.1.113883.15.16' specified, so Concepts and Filters can't be checked (Details: Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated) (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-tnm-m-category-uicc.json: line 0, col 0, Warning - Error from http://tx.fhir.org/r4: Unable to provide support for code system urn:oid:2.16.840.1.113883.15.16 (EXCEPTION)
/github/workspace/fsh-generated/resources/ValueSet-tnm-n-category-uicc.json: line 0, col 0, Warning - Unknown System 'urn:oid:2.16.840.1.113883.15.16' specified, so Concepts and Filters can't be checked (Details: Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated) (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-tnm-n-category-uicc.json: line 0, col 0, Warning - Error from http://tx.fhir.org/r4: Unable to provide support for code system urn:oid:2.16.840.1.113883.15.16 (EXCEPTION)
/github/workspace/fsh-generated/resources/ValueSet-tnm-pn-perineural-invasion-uicc.json: line 0, col 0, Warning - Unknown System 'urn:oid:2.16.840.1.113883.15.16' specified, so Concepts and Filters can't be checked (Details: Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated) (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-tnm-pn-perineural-invasion-uicc.json: line 0, col 0, Warning - Error from http://tx.fhir.org/r4: Unable to provide support for code system urn:oid:2.16.840.1.113883.15.16 (EXCEPTION)
/github/workspace/fsh-generated/resources/ValueSet-tnm-prefix-cpu-uicc.json: line 0, col 0, Warning - Unknown System 'urn:oid:2.16.840.1.113883.15.16' specified, so Concepts and Filters can't be checked (Details: The CodeSystem urn:oid:2.16.840.1.113883.15.16 is unknown (from Tx-Server)) (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-tnm-prefix-cpu-uicc.json: line 0, col 0, Warning - Error from http://tx.fhir.org/r4: Unable to provide support for code system urn:oid:2.16.840.1.113883.15.16 (EXCEPTION)
/github/workspace/fsh-generated/resources/ValueSet-tnm-r-classification-uicc.json: line 0, col 0, Warning - Unknown System 'urn:oid:2.16.840.1.113883.15.16' specified, so Concepts and Filters can't be checked (Details: Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated) (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-tnm-r-classification-uicc.json: line 0, col 0, Warning - Error from http://tx.fhir.org/r4: Unable to provide support for code system urn:oid:2.16.840.1.113883.15.16 (EXCEPTION)
/github/workspace/fsh-generated/resources/ValueSet-tnm-s-serum-tumor-markers-uicc.json: line 0, col 0, Warning - Unknown System 'urn:oid:2.16.840.1.113883.15.16' specified, so Concepts and Filters can't be checked (Details: Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated) (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-tnm-s-serum-tumor-markers-uicc.json: line 0, col 0, Warning - Error from http://tx.fhir.org/r4: Unable to provide support for code system urn:oid:2.16.840.1.113883.15.16 (EXCEPTION)
/github/workspace/fsh-generated/resources/ValueSet-tnm-stage-group-uicc.json: line 0, col 0, Warning - Unknown System 'urn:oid:2.16.840.1.113883.15.16' specified, so Concepts and Filters can't be checked (Details: Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated) (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-tnm-stage-group-uicc.json: line 0, col 0, Warning - Error from http://tx.fhir.org/r4: Unable to provide support for code system urn:oid:2.16.840.1.113883.15.16 (EXCEPTION)
/github/workspace/fsh-generated/resources/ValueSet-tnm-suffix-itc-sn-uicc.json: line 0, col 0, Warning - Unknown System 'urn:oid:2.16.840.1.113883.15.16' specified, so Concepts and Filters can't be checked (Details: Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated) (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-tnm-suffix-itc-sn-uicc.json: line 0, col 0, Warning - Error from http://tx.fhir.org/r4: Unable to provide support for code system urn:oid:2.16.840.1.113883.15.16 (EXCEPTION)
/github/workspace/fsh-generated/resources/ValueSet-tnm-suffix-itc-uicc.json: line 0, col 0, Warning - Unknown System 'urn:oid:2.16.840.1.113883.15.16' specified, so Concepts and Filters can't be checked (Details: Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated) (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-tnm-suffix-itc-uicc.json: line 0, col 0, Warning - Error from http://tx.fhir.org/r4: Unable to provide support for code system urn:oid:2.16.840.1.113883.15.16 (EXCEPTION)
/github/workspace/fsh-generated/resources/ValueSet-tnm-t-category-uicc.json: line 0, col 0, Warning - Unknown System 'urn:oid:2.16.840.1.113883.15.16' specified, so Concepts and Filters can't be checked (Details: Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated) (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-tnm-t-category-uicc.json: line 0, col 0, Warning - Error from http://tx.fhir.org/r4: Unable to provide support for code system urn:oid:2.16.840.1.113883.15.16 (EXCEPTION)
/github/workspace/fsh-generated/resources/ValueSet-tnm-t-multiplicity-uicc.json: line 0, col 0, Warning - Unknown System 'urn:oid:2.16.840.1.113883.15.16' specified, so Concepts and Filters can't be checked (Details: Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated) (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-tnm-t-multiplicity-uicc.json: line 0, col 0, Warning - Error from http://tx.fhir.org/r4: Unable to provide support for code system urn:oid:2.16.840.1.113883.15.16 (EXCEPTION)
/github/workspace/fsh-generated/resources/ValueSet-tnm-v-venous-invasion-uicc.json: line 0, col 0, Warning - Unknown System 'urn:oid:2.16.840.1.113883.15.16' specified, so Concepts and Filters can't be checked (Details: Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated) (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-tnm-v-venous-invasion-uicc.json: line 0, col 0, Warning - Error from http://tx.fhir.org/r4: Unable to provide support for code system urn:oid:2.16.840.1.113883.15.16 (EXCEPTION)
/github/workspace/fsh-generated/resources/ValueSet-topography-icd-o-3.json: line 0, col 0, Warning - Error from http://tx.fhir.org/r4: Unable to provide support for code system http://terminology.hl7.org/CodeSystem/icd-o-3 (EXCEPTION)
/github/workspace/fsh-generated/resources/ValueSet-tumor-area-units.json: line 1, col 844, Warning - Published value sets SHOULD conform to the ShareableValueSet profile, which says that the element ValueSet.experimental is mandatory, but it is not present (REQUIRED)
/github/workspace/fsh-generated/resources/ValueSet-tumor-measurement-methods.json: line 1, col 1529, Warning - Published value sets SHOULD conform to the ShareableValueSet profile, which says that the element ValueSet.experimental is mandatory, but it is not present (REQUIRED)
/github/workspace/fsh-generated/resources/ValueSet-tumor-size-units.json: line 1, col 863, Warning - Published value sets SHOULD conform to the ShareableValueSet profile, which says that the element ValueSet.experimental is mandatory, but it is not present (REQUIRED)
/github/workspace/fsh-generated/resources/ValueSet-tumor-volume-units.json: line 1, col 845, Warning - Published value sets SHOULD conform to the ShareableValueSet profile, which says that the element ValueSet.experimental is mandatory, but it is not present (REQUIRED)
/github/workspace/fsh-generated/resources/ValueSet-type-of-blinding-ncit.json: line 0, col 0, Warning - Unknown System 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' specified, so Concepts and Filters can't be checked (Details: Resolved system http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl (v3.0.0), but the definition is not complete) (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-type-of-blinding-ncit.json: line 0, col 0, Warning - Error from http://tx.fhir.org/r4: Unable to provide support for code system http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl (EXCEPTION)
/github/workspace/fsh-generated/resources/ValueSet-type-of-randomization-ncit.json: line 0, col 0, Warning - Unknown System 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' specified, so Concepts and Filters can't be checked (Details: Resolved system http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl (v3.0.0), but the definition is not complete) (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-type-of-randomization-ncit.json: line 0, col 0, Warning - Error from http://tx.fhir.org/r4: Unable to provide support for code system http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl (EXCEPTION)
/github/workspace/fsh-generated/resources/ValueSet-type-of-study-arm-ncit.json: line 0, col 0, Warning - Error from http://tx.fhir.org/r4: Unable to provide support for code system http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl (EXCEPTION)
/github/workspace/fsh-generated/resources/ValueSet-vs-recist-radiological-read-procedure.json: line 0, col 0, Error - Conformance resource /github/workspace/fsh-generated/resources/ValueSet-vs-recist-radiological-read-procedure.json - the canonical URL (https://www.vision-zero-oncology.de/fhir/ValueSet/vs-recist-radiological-read-procedure) does not match the URL (https://www.vision-zero-oncology.de/fhir/ValueSet/vs_recist_radiological_read_procedure) (INVALID)
/github/workspace/fsh-generated/resources/ValueSet-vs-recist-radiological-read-procedure.json: line 0, col 0, Error - Resource id/url mismatch: vs-recist-radiological-read-procedure/https://www.vision-zero-oncology.de/fhir/ValueSet/vs_recist_radiological_read_procedure (INVARIANT)
/github/workspace/fsh-generated/resources/ValueSet-vs-recist-radiological-read-procedure.json: line 1, col 887, Warning - Published value sets SHOULD conform to the ShareableValueSet profile, which says that the element ValueSet.experimental is mandatory, but it is not present (REQUIRED)
/github/workspace/fsh-generated/resources/ValueSet-vs-recist-radiological-read-procedure.json: line 0, col 0, Error - URL Mismatch https://www.vision-zero-oncology.de/fhir/ValueSet/vs-recist-radiological-read-procedure vs https://www.vision-zero-oncology.de/fhir/ValueSet/vs_recist_radiological_read_procedure (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-vs-recsit-category-observation.json: line 1, col 898, Warning - Published value sets SHOULD conform to the ShareableValueSet profile, which says that the element ValueSet.experimental is mandatory, but it is not present (REQUIRED)
/github/workspace/fsh-generated/resources/ValueSet-vs-tnm-category-observation.json: line 1, col 1166, Warning - Published value sets SHOULD conform to the ShareableValueSet profile, which says that the element ValueSet.experimental is mandatory, but it is not present (REQUIRED)
/github/workspace/fsh-generated/resources/ValueSet-vs-tnm-radiological-read-procedure.json: line 1, col 962, Warning - Published value sets SHOULD conform to the ShareableValueSet profile, which says that the element ValueSet.experimental is mandatory, but it is not present (REQUIRED)

GOLD : Validation Results
=========================================

err = 81, warn = 185, info = 130
IG Publisher Version: 1.4.8
Generated Wed Sep 27 08:49:47 UTC 2023. FHIR version 4.0.1 for gold#0.1.0 (canonical = https://www.vision-zero-oncology.de/fhir)
